prov_ubie;cant_ubie;parr_ubie;clase;tipo;entidad;sector;dotmedic;dotcirug;dotginob;dotpedia;dotcardi;dotneumo;dotpsiqu;dottraum;dotinfec;dotoftal;doturolo;dotgast;dototrse;dotserin;dotemerg;dotcinte;dismedic;discirug;disginob;dispedia;discardi;disneumo;dispsiqu;distraum;disinfec;disoftal;disurolo;disgast;disotrse;disserin;disemerg;discinte;camas_dnor;camas_disp;falmen48;falmas48;dia_estad;dias_cdis;totegres
06;0605;060550;1;5;1;1;6;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;6;2;3;4;0;0;0;0;0;0;0;0;0;0; ; ;15;15;3;6;3739;5475;1342
06;0603;060350;1;5;1;1;10;5;6;4;0;0;0;0;0;0;0;0;0;0;0;0;10;5;6;4;0;0;0;0;0;0;0;0;0;0; ; ;25;25;2;4;3141;9125;983
06;0606;060650;1;5;1;1;6;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;6;0;5;4;0;0;0;0;0;0;0;0;0;0; ; ;15;15;1;1;2810;5475;1009
06;0601;060150;2;1;1;1;50;52;72;40;0;0;0;0;0;0;0;0;6;0;0;0;48;49;66;35;0;0;0;0;0;0;0;0;6;0; ; ;220;204;74;185;51482;74460;12572
06;0601;060150;5;1;1;1;22;5;0;3;0;0;0;0;6;0;0;0;0;0;0;0;22;5;0;3;0;0;0;0;6;0;0;0;0;0; ; ;36;36;1;4;6882;13140;1698
06;0601;060151;2;1;6;1;23;23;16;11;0;0;2;13;0;2;9;1;34;0;0;0;23;23;16;11;0;0;2;13;0;2;9;1;34;0; ; ;134;134;81;168;38181;48910;10761
06;0601;060150;8;2;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;28; ; ;28;28;0;2;832;10220;247
06;0601;060151;2;1;3;1;15;4;6;5;0;0;0;5;0;0;0;0;0;0;3;0;15;4;6;5;0;0;0;5;0;0;0;0;0;0; ; ;35;35;0;2;2305;12775;816
07;0701;070150;2;1;1;1;52;30;47;57;0;0;0;20;0;0;0;0;8;0;0;6;31;15;45;50;0;0;0;15;0;0;0;0;9;0; ; ;214;165;35;145;48201;60225;9992
07;0706;070650;1;5;1;1;8;4;11;10;0;0;0;0;0;0;0;0;0;0;0;0;8;4;11;10;0;0;0;0;0;0;0;0;0;0; ; ;33;33;5;14;7442;12045;2245
07;0709;070950;1;5;1;1;14;14;21;10;0;0;0;0;0;0;0;0;6;0;0;0;14;14;21;10;0;0;0;0;0;0;0;0;6;0; ; ;65;65;10;48;16882;23725;4580
07;0712;071250;4;1;1;1;0;0;38;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;20;0;0;0;0;0;0;0;0;0;0; ; ;58;58;9;19;12060;21170;3188
07;0712;071250;1;5;1;1;26;14;0;10;0;0;0;0;0;0;0;0;0;0;0;0;26;14;0;10;0;0;0;0;0;0;0;0;0;0; ; ;50;50;37;34;7165;18250;1793
07;0702;070250;1;5;1;1;6;2;7;3;0;0;0;0;0;0;0;0;0;0;0;0;6;2;7;3;0;0;0;0;0;0;0;0;0;0; ; ;18;18;6;2;3565;6570;1380
07;0707;070750;1;5;1;1;9;10;12;9;0;0;0;0;0;0;0;0;0;0;0;0;9;10;12;9;0;0;0;0;0;0;0;0;0;0; ; ;40;40;6;5;7303;14600;2573
07;0710;071050;1;5;1;1;6;4;6;3;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;3;0;0;0;0;0;0;0;0;0;0; ; ;19;19;2;4;3308;6935;1306
07;0713;071350;1;5;1;1;8;8;6;3;0;0;0;0;0;0;0;0;0;0;3;0;8;8;6;3;0;0;0;0;0;0;0;0;0;0; ; ;25;25;10;13;4496;9125;1584
07;0701;070150;1;5;6;1;0;8;11;20;3;0;0;4;0;3;3;3;15;0;0;0;0;8;11;20;3;0;0;4;0;3;3;3;15;0; ; ;70;70;62;115;37167;25620;12484
07;0701;070150;8;2;15;3;0;10;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;10;0; ; ;20;20;10;26;2877;7320;853
08;0801;080150;2;1;1;1;18;28;30;30;0;0;0;0;0;0;0;0;19;0;32;5;16;16;30;16;0;0;0;0;0;0;0;0;18;0; ; ;125;96;41;116;30381;35040;7888
08;0801;080150;1;5;1;1;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0; ; ;19;19;0;0;261;6935;143
08;0806;080650;1;5;1;1;5;5;5;4;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;4;0;0;0;0;0;0;0;0;0;0; ; ;19;19;1;1;4483;6935;2021
08;0804;080450;1;5;1;1;5;5;10;2;0;0;0;0;0;0;0;0;0;0;0;0;5;5;10;2;0;0;0;0;0;0;0;0;0;0; ; ;22;22;5;1;8944;8030;3787
08;0805;080550;1;5;1;1;13;12;15;28;0;0;0;0;0;0;0;0;0;0;8;0;12;12;16;20;0;0;0;0;0;0;0;0;0;0; ; ;68;60;3;9;6989;21900;2222
08;0802;080253;1;5;1;1;5;0;10;5;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;5;0;0;0;0;0;0;0;0;0;0; ; ;20;17;0;1;4036;6205;1206
08;0802;080250;1;5;1;1;10;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;10;1;4;5;0;0;0;0;0;0;0;0;0;0; ; ;20;20;1;0;2120;7300;795
08;0803;080350;1;5;1;1;7;3;6;4;0;0;0;0;0;0;0;0;0;0;0;0;7;3;6;4;0;0;0;0;0;0;0;0;0;0; ; ;20;20;0;0;2521;7300;839
08;0801;080150;2;1;6;1;12;6;4;7;3;0;0;4;0;0;2;4;11;0;16;0;12;6;4;7;3;0;0;4;0;0;2;4;11;0; ; ;53;53;10;56;15327;19398;3635
09;0901;090150;12;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13; ; ;13;13;0;0;155;4758;86
09;0901;090101;5;1;1;1;78;62;0;0;13;12;0;24;21;16;13;25;88;0;48;8;77;60;0;0;13;12;0;24;21;16;10;25;66;0; ; ;352;324;15;161;102636;118260;15394
09;0901;090104;11;1;1;1;91;83;6;0;12;0;0;12;0;0;12;12;0;0;54;30;91;83;6;0;12;0;0;12;0;0;12;12;0;0; ; ;228;228;37;834;106997;83220;8684
