"PROVINCIA_ESTABLECIMIENTO","CANTO_ESTABLECIMIENTO","PARROQUIA_UBICACION","CLASE_ESTABLECIMIENTO","TIPO_ESTABLECIMIENTO","ENTIDAD","SECTOR","MEDICINA","CIRUGIA","GINECOLOGIA_OBSTETRICIA","PEDIATRIA","CARDIOLOGIA","NEUMOLOGIA","PSIQUIATRIA","TRAUMATOLOGIA","INFECTOLOGIA","OFTALMOLOGIA_OTORRINO","UROLOGIA","GASTROENTEROLOGIA","OTROS_SERVICIOS","SERVICIOS_INDIFERENCIADOS","CAMAS_EMERGENCIA","CAMAS_CUIDADOS_INTENSIVOS","CAMAS_DISPONIBLES_MEDICINA","CAMAS_DISPONIBLES_CIRUGIA","CAMAS_DISPONIBLES_GINECOLOGIA","CAMAS_DISPONIBLE_PEDIATRIA","CAMAS_DISPONIBLES_CARDIOLOGIA","CAMAS_DISPONIBLES_NEUMOLOGIA","CAMAS_DISPONIBLE_PSIQUIATRIA","CAMAS_DISPONIBLE_TRAUMOLOGIA","CAMAS_DISPONIBLES_INFECTOLOGIA","CAMAS_DISPONIBLES_OFTALMOLOGIA","CAMAS_DISPONIBLES_UROLOGIA","CAMAS_DISPONIBLES_GASTROENTEROLOGIA","CAMAS_DISPONIBLES_OTROS_SERVICIOS","CAMAS_DISPONIBLES_SERVICIOS_INDIFERENCIADOS","CAMAS_DISPONIBLES_EMERGENCIA","CAMAS_DISPONIBLES_CUIDADOS_INTENSIVOS","TOTAL_CAMAS_DONACION_NORMAL","TOTAL_CAMAS_DISPONIBLES","NUMERO_FALLECIDOS_MENOR_48H","NUMERO_FALLECIDOS_EN_48H_Y_MAS","DIAS_DE_ESTADA","DIAS_CAMAS_DISPONIBLES","NUMERO_DE_EGRESOS"
"Azuay","Cuenca","10150","8","2","15","3","0","37","22","36","0","0","0","0","0","0","0","0","0","0","8","8","0","34","22","32","0","0","0","0","0","0","0","0","0","0"," "," ","95","88","13","33","16351","32084","3683"
"Azuay","Cuenca","10150","1","5","11","1","0","0","0","8","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","9"," "," ","17","17","2","12","4042","6222","1266"
"Bolivar","Guaranda","20150","2","1","1","1","22","23","30","25","0","0","0","0","0","0","0","0","10","0","0","2","22","23","30","25","0","0","0","0","0","0","0","0","10","0"," "," ","110","110","24","46","20921","40150","5490"
"Bolivar","San Miguel","20550","1","5","1","1","5","2","5","3","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","2","0","0","0","0","0","0","0","0","0","0"," "," ","15","9","0","0","1967","3285","762"
"Bolivar","Chillanes","20250","1","5","1","1","6","3","3","3","0","0","0","0","0","0","0","0","0","0","3","0","4","3","3","4","0","0","0","0","0","0","0","0","0","0"," "," ","15","14","2","4","3062","5110","1182"
"Bolivar","Guaranda","20150","1","5","6","1","4","5","2","1","1","0","0","1","0","0","0","1","0","0","5","0","4","5","2","1","1","0","0","1","0","0","0","1","0","0"," "," ","15","15","7","6","5860","6954","1487"
"Canar","La Troncal","30450","1","5","1","1","7","7","12","6","0","0","0","0","0","0","0","0","0","0","0","0","7","7","12","6","0","0","0","0","0","0","0","0","0","0"," "," ","32","32","12","15","8499","11680","3222"
"Canar","Azogues","30150","2","1","1","1","42","24","36","23","0","0","0","9","0","0","0","0","12","0","11","4","42","24","36","23","0","0","0","9","0","0","0","0","12","0"," "," ","146","146","59","119","30743","53290","9160"
"Canar","Canar","30350","1","5","1","1","18","7","9","16","0","0","0","0","0","0","0","0","0","0","0","0","16","7","9","15","0","0","0","0","0","0","0","0","0","0"," "," ","50","47","8","11","8370","17155","2936"
"Carchi","Tulcan","40150","2","1","1","1","25","25","56","40","0","0","0","0","0","0","0","0","16","0","21","4","25","25","56","40","0","0","0","0","0","0","0","0","16","0"," "," ","162","162","36","72","29091","59130","6885"
"Carchi","Montufar","40550","1","5","1","1","10","0","11","4","0","0","0","0","0","0","0","0","0","0","0","0","10","0","11","4","0","0","0","0","0","0","0","0","0","0"," "," ","25","25","2","0","2928","9125","1260"
"Carchi","Espejo","40350","1","5","1","1","6","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","6","0","7","2","0","0","0","0","0","0","0","0","0","0"," "," ","15","15","1","2","1473","5475","677"
"Cotopaxi","Latacunga","50150","2","1","1","1","32","60","36","34","0","0","0","34","0","0","0","0","6","0","0","0","24","34","36","33","0","0","0","24","0","0","0","0","6","0"," "," ","202","157","50","82","34407","57305","9482"
